2025-05-30 10:00:36,070 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\0561\\Desktop\\davi_emannoel_stuffs\\musicas\\carro\\Eretika!\\A - Sacro Cosmo (Cosmo Mix).mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-11 01:47:31,570 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-11 01:47:55,568 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\02-headbanger_feat_alee_and_ruffian-headbanger_theme.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-11 01:49:28,141 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 22:54:36,534 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 22:54:54,832 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\02-headbanger_feat_alee_and_ruffian-headbanger_theme.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 22:54:56,878 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 22:55:35,141 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\02-headbanger_feat_alee_and_ruffian-headbanger_theme.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 22:55:37,761 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 23:05:23,767 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 23:05:35,210 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\02-headbanger_feat_alee_and_ruffian-headbanger_theme.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 23:05:38,575 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\01-bass-d_and_king_matthew-the_masterplan.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-06-10 23:05:45,543 - DEBUG - subprocess.call(['ffmpeg', '-y', '-i', 'C:\\Users\\Davi\\Desktop\\hardcore2000\\VA-Masters_Of_Hardcore-Chapter_2\\02-headbanger_feat_alee_and_ruffian-headbanger_theme.mp3', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
